Date,SP500,DJI
2006-01-01,1280.0799560546875,10864.8603515625
2006-02-01,1280.6600341796875,10993.41015625
2006-03-01,1294.8699951171875,11109.3203125
2006-04-01,1310.6099853515625,11367.1396484375
2006-05-01,1270.0899658203125,11168.3095703125
2006-06-01,1270.199951171875,11150.2197265625
2006-07-01,1276.6600341796875,11185.6796875
2006-08-01,1303.8199462890625,11381.150390625
2006-09-01,1335.8499755859375,11679.0703125
2006-10-01,1377.93994140625,12080.73046875
2006-11-01,1400.6300048828125,12221.9296875
2006-12-01,1418.300048828125,12463.150390625
2007-01-01,1438.239990234375,12621.6904296875
2007-02-01,1406.8199462890625,12268.6298828125
2007-03-01,1420.8599853515625,12354.349609375
2007-04-01,1482.3699951171875,13062.91015625
2007-05-01,1530.6199951171875,13627.6396484375
2007-06-01,1503.3499755859375,13408.6201171875
2007-07-01,1455.27001953125,13211.990234375
2007-08-01,1473.989990234375,13357.740234375
2007-09-01,1526.75,13895.6298828125
2007-10-01,1549.3800048828125,13930.009765625
2007-11-01,1481.1400146484375,13371.7197265625
2007-12-01,1468.3599853515625,13264.8203125
2008-01-01,1378.550048828125,12650.3603515625
2008-02-01,1330.6300048828125,12266.3896484375
2008-03-01,1322.699951171875,12262.8896484375
2008-04-01,1385.5899658203125,12820.1298828125
2008-05-01,1400.3800048828125,12638.3203125
2008-06-01,1280.0,11350.009765625
2008-07-01,1267.3800048828125,11378.01953125
2008-08-01,1282.8299560546875,11543.9599609375
2008-09-01,1166.3599853515625,10850.66015625
2008-10-01,968.75,9325.009765625
2008-11-01,896.239990234375,8829.0400390625
2008-12-01,903.25,8776.3896484375
2009-01-01,825.8800048828125,8000.85986328125
2009-02-01,735.0900268554688,7062.93017578125
2009-03-01,797.8699951171875,7608.919921875
2009-04-01,872.8099975585938,8168.1201171875
2009-05-01,919.1400146484375,8500.330078125
2009-06-01,919.3200073242188,8447.0
2009-07-01,987.47998046875,9171.6103515625
2009-08-01,1020.6199951171875,9496.2802734375
2009-09-01,1057.0799560546875,9712.2802734375
